Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-5.60988,-72.47460,22.11137,6.95572,60.00000,3.22735,66.86472,50.36323,0.00000,0.00000,0.00000,0.02957,0.11540,0.04141,0.00000,0.34046,0.61923,0.02479,0.02617,1.33224,0.34359,0.44685,0.68000,,
-5.47853,-72.47060,22.08225,6.92702,60.00000,3.24328,66.99207,50.38834,0.00000,0.00000,0.00000,0.02511,0.12736,0.02912,0.00000,0.34074,0.61940,0.02823,0.01769,1.17865,0.75090,0.71030,0.69000,,
-5.33920,-72.45354,22.04383,6.90225,60.00000,3.25661,67.11435,50.40972,0.00000,0.00000,0.00000,0.02137,0.12228,0.03843,0.00000,0.34103,0.61970,0.02911,0.02959,0.59909,0.69628,0.52869,0.70000,,
-5.20255,-72.43358,22.01691,6.87918,60.00000,3.26593,67.23103,50.41667,0.00000,0.00000,0.00000,0.00695,0.11668,0.02692,0.00000,0.34135,0.61998,0.03137,0.02868,0.34378,0.95491,0.27000,0.71000,,
-5.06117,-72.41005,21.98185,6.86539,60.00000,3.27687,67.34888,50.42820,0.00000,0.00000,0.00000,0.01153,0.11786,0.03506,0.00000,0.34166,0.62032,0.03095,0.03318,0.88782,0.63551,0.15344,0.72000,,
-4.91839,-72.38153,21.95386,6.86667,60.00000,3.28840,67.46313,50.42767,0.00000,0.00000,0.00000,0.00053,0.11425,0.02800,0.00000,0.34199,0.62067,0.03339,0.03503,0.67451,0.52906,0.07754,0.73000,,
-4.77008,-72.35529,21.91923,6.87473,60.00000,3.29959,67.58521,50.43606,0.00000,0.00000,0.00000,0.00838,0.12207,0.03463,0.00000,0.34232,0.62102,0.03312,0.03495,0.24609,0.23936,0.27657,0.74000,,
-4.62180,-72.32189,21.89061,6.88718,60.00000,3.31093,67.70009,50.43128,0.00000,0.00000,0.00000,0.00478,0.11488,0.02862,0.00000,0.34267,0.62140,0.03508,0.03852,0.49543,0.38103,0.32357,0.75000,,
-4.47103,-72.28043,21.85939,6.89243,60.00000,3.32248,67.80940,50.42104,0.00000,0.00000,0.00000,0.01024,0.10931,0.03122,0.00000,0.34303,0.62185,0.03574,0.04483,0.46130,0.34269,0.16866,0.76000,,
-4.31482,-72.23635,21.83321,6.90062,60.00000,3.32358,67.92153,50.40314,0.00000,0.00000,0.00000,0.01789,0.11213,0.02618,0.00000,0.34342,0.62231,0.03860,0.04557,0.27187,0.47404,0.13684,0.77000,,
-4.15497,-72.20486,21.82049,6.90412,60.00000,3.30544,68.04990,50.38438,0.00000,0.00000,0.00000,0.01877,0.12836,0.01272,0.00000,0.34383,0.62264,0.04185,0.03325,0.55967,0.37727,0.22382,0.78000,,
-3.98563,-72.16259,21.81661,6.91651,60.00000,3.28424,68.17696,50.34598,0.00000,0.00000,0.00000,0.03839,0.12707,0.00388,0.00000,0.34431,0.62303,0.04731,0.03921,0.35329,0.26411,0.31299,0.79000,,
-3.80810,-72.10759,21.80895,6.91717,60.00000,3.26623,68.29949,50.29864,0.00000,0.00000,0.00000,0.04734,0.12253,0.00766,0.00000,0.34480,0.62352,0.04957,0.04932,0.93682,0.13283,0.07857,0.80000,,
-3.61289,-72.04296,21.80878,6.91589,60.00000,3.25016,68.43007,50.23418,0.00000,0.00000,0.00000,0.06446,0.13058,0.00017,0.00000,0.34537,0.62407,0.05681,0.05493,0.44519,0.79271,0.27162,0.81000,,
-3.42015,-71.97544,21.80804,6.89681,60.00000,3.23394,68.55529,50.16740,0.00000,0.00000,0.00000,0.06678,0.12522,0.00074,0.00000,0.34593,0.62464,0.05627,0.05664,0.69597,0.53569,0.32322,0.82000,,
-3.23153,-71.90437,21.81627,6.87577,60.00000,3.21719,68.67284,50.08810,0.00000,0.00000,0.00000,0.07930,0.11755,0.00822,0.00000,0.34651,0.62521,0.05761,0.05659,0.22355,0.24460,0.21523,0.83000,,
-3.04110,-71.83140,21.82798,6.84720,60.00000,3.20166,68.79029,50.00342,0.00000,0.00000,0.00000,0.08468,0.11745,0.01171,0.00000,0.34710,0.62577,0.05910,0.05682,0.30419,0.25272,0.35608,0.84000,,
-2.85412,-71.75271,21.84790,6.80402,60.00000,3.18456,68.89859,49.90481,0.00000,0.00000,0.00000,0.09861,0.10830,0.01992,0.00000,0.34771,0.62636,0.06061,0.05854,1.02265,0.15573,0.25209,0.85000,,
-2.65754,-71.67146,21.87964,6.76164,60.00000,3.17152,69.01392,49.79182,0.00000,0.00000,0.00000,0.11299,0.11533,0.03174,0.00000,0.34837,0.62693,0.06622,0.05757,0.38732,0.52042,0.11536,0.86000,,
-2.44932,-71.59007,21.91249,6.71715,60.00000,3.16049,69.14074,49.67757,0.00000,0.00000,0.00000,0.11424,0.12682,0.03285,0.00000,0.34907,0.62751,0.06963,0.05727,0.78444,0.89728,0.17467,0.87000,,
-2.23792,-71.51926,21.95099,6.67795,60.00000,3.15375,69.28133,49.56826,0.00000,0.00000,0.00000,0.10931,0.14059,0.03850,0.00000,0.34978,0.62799,0.07104,0.04788,0.86449,0.77620,0.12050,0.88000,,
-2.01627,-71.45488,21.99041,6.63874,60.00000,3.15326,69.43861,49.46447,0.00000,0.00000,0.00000,0.10379,0.15728,0.03942,0.00000,0.35051,0.62841,0.07351,0.04272,1.00279,1.31195,0.20375,0.89000,,
